frame,keL_a,keR_a,keL_b,keR_b
213,1.413765402e-3,6.017574619e-7,1.413765402e-3,6.017574619e-7
214,1.398441566e-3,5.971534219e-7,1.398441566e-3,5.971534219e-7
215,1.382958653e-3,6.003332104e-7,1.382958653e-3,6.003332104e-7
216,1.367293658e-3,6.002457217e-7,1.367293658e-3,6.002457217e-7
217,1.351475000e-3,6.011314540e-7,1.351475000e-3,6.011314540e-7
218,1.335500303e-3,6.024935648e-7,1.335500303e-3,6.024935648e-7
219,1.319392791e-3,6.063780170e-7,1.319392791e-3,6.063780170e-7
220,1.303155929e-3,6.099742098e-7,1.303155929e-3,6.099742098e-7
221,1.286786280e-3,6.129090148e-7,1.286786280e-3,6.129090148e-7
222,1.270264588e-3,6.151753060e-7,1.270264588e-3,6.151753060e-7
223,1.253579175e-3,6.155458194e-7,1.253579175e-3,6.155458194e-7
224,1.236821666e-3,6.080270937e-7,1.236821666e-3,6.080270937e-7
225,1.220030028e-3,5.800078962e-7,1.220030028e-3,5.800078962e-7
226,1.203426316e-3,5.738275765e-7,1.203426316e-3,5.738275765e-7
227,1.187405654e-3,5.602885934e-7,1.187405654e-3,5.602885934e-7
228,1.172732325e-3,5.459392233e-7,1.172732325e-3,5.459392233e-7
229,1.160560601e-3,5.332030916e-7,1.160560601e-3,5.332030916e-7
230,1.151775015e-3,5.210937820e-7,1.151775015e-3,5.210937820e-7
231,1.144946498e-3,5.082307891e-7,1.144946498e-3,5.082307891e-7
232,1.123920205e-3,4.870397366e-7,1.123920205e-3,4.870397366e-7
233,1.131903849e-3,4.663206719e-7,1.131903849e-3,4.663206719e-7
234,1.176787989e-3,4.450340757e-7,1.176787989e-3,4.450340757e-7
235,1.227975541e-3,4.233905047e-7,1.227975541e-3,4.233905047e-7
236,1.329779286e-3,4.020662843e-7,1.329779286e-3,4.020662843e-7
237,1.458873733e-3,3.800984358e-7,1.458873733e-3,3.800984358e-7
238,1.608552249e-3,3.418903539e-7,1.608552249e-3,3.418903539e-7
239,1.741089140e-3,3.136338113e-7,1.741089140e-3,3.136338113e-7
240,1.840846973e-3,2.753999504e-7,1.840846973e-3,2.753999504e-7
241,1.917690499e-3,2.650375742e-7,6.570423277e-5,0.000000000e0
242,1.942530608e-3,2.452020754e-7,2.634878276e-4,0.000000000e0
243,1.944742020e-3,2.294326278e-7,3.989589434e-4,0.000000000e0
244,1.935673136e-3,2.112986301e-7,5.562554557e-4,0.000000000e0
245,1.927789036e-3,1.987931799e-7,7.344379599e-4,0.000000000e0
246,1.920916706e-3,1.887712998e-7,9.231634089e-4,0.000000000e0
247,1.911787901e-3,1.804232365e-7,1.120027508e-3,0.000000000e0
248,1.902669009e-3,1.722623370e-7,1.332806135e-3,0.000000000e0
249,1.891556032e-3,1.658467816e-7,1.555998650e-3,0.000000000e0
250,1.883666845e-3,1.547570162e-7,1.783327463e-3,0.000000000e0
251,1.875193420e-3,1.486530768e-7,2.008112835e-3,0.000000000e0
252,1.867415933e-3,1.448264975e-7,2.255842970e-3,0.000000000e0
253,1.859616245e-3,1.417992697e-7,2.492634662e-3,0.000000000e0
254,1.851803795e-3,1.446027116e-7,2.749202345e-3,0.000000000e0
255,1.843632672e-3,1.453864897e-7,2.985669721e-3,0.000000000e0
256,1.837081911e-3,1.404745814e-7,3.238157492e-3,0.000000000e0
257,1.828859971e-3,1.413881417e-7,3.507381021e-3,0.000000000e0
258,1.813642466e-3,1.396739801e-7,3.794072753e-3,0.000000000e0
259,1.807500481e-3,1.418645967e-7,4.046862834e-3,0.000000000e0
260,1.800411525e-3,1.437655570e-7,4.312736543e-3,0.000000000e0
261,1.795200454e-3,1.462981517e-7,4.592143520e-3,0.000000000e0
262,1.789565171e-3,1.475084396e-7,4.885536599e-3,0.000000000e0
263,1.784094602e-3,1.464450411e-7,5.193376198e-3,0.000000000e0
264,1.776441626e-3,1.307067166e-7,5.450363502e-3,0.000000000e0
265,1.769034883e-3,1.300728036e-7,5.717183704e-3,0.000000000e0
266,1.763827975e-3,1.218970085e-7,5.994085077e-3,0.000000000e0
267,1.759011893e-3,1.134502851e-7,6.281280779e-3,0.000000000e0
268,1.754321314e-3,5.694404728e-8,6.579011455e-3,0.000000000e0
269,1.749827238e-3,7.357411329e-8,6.887542552e-3,0.000000000e0
270,1.745535152e-3,5.349668802e-8,7.207129899e-3,0.000000000e0
271,1.741455121e-3,4.802509454e-8,7.538023288e-3,0.000000000e0
272,1.737347400e-3,3.938934729e-8,7.880476192e-3,0.000000000e0
273,1.733411131e-3,3.305538949e-8,8.145064405e-3,0.000000000e0
274,1.729726662e-3,3.075857146e-8,8.416422214e-3,0.000000000e0
275,1.725941198e-3,3.079750297e-8,8.694666501e-3,0.000000000e0
276,1.722455558e-3,2.906709523e-8,8.979914413e-3,0.000000000e0
277,1.665801318e-3,2.516047724e-8,9.272281700e-3,0.000000000e0
278,1.651191084e-3,2.643254607e-8,9.571886430e-3,0.000000000e0
279,1.628080822e-3,2.723499053e-8,9.878846996e-3,0.000000000e0
280,1.588954168e-3,2.852356503e-8,1.019328112e-2,0.000000000e0
281,1.485474318e-3,2.844700344e-8,1.051531206e-2,0.000000000e0
