frame,div_px,div_pos,div_pos_l,div_pos_r
333,2.353626473e-3,1.685555011e2,5.273093580e1,1.158245653e2
334,2.344265561e-3,1.686227695e2,5.279820404e1,1.158245655e2
335,2.339609824e-3,1.686907882e2,5.286622264e1,1.158245656e2
336,2.421702742e-3,1.687595621e2,5.293499641e1,1.158245657e2
337,2.542168902e-3,1.687942791e2,5.296971326e1,1.158245658e2
338,2.574773998e-3,1.688291647e2,5.300459879e1,1.158245659e2
339,2.609850039e-3,1.688642262e2,5.303966030e1,1.158245659e2
340,2.603973884e-3,1.688994623e2,5.307489627e1,1.158245660e2
341,2.618973752e-3,1.689348735e2,5.311030743e1,1.158245661e2
342,2.631152435e-3,1.689704655e2,5.314589929e1,1.158245662e2
343,2.627343518e-3,1.690062346e2,5.318166839e1,1.158245662e2
344,2.617083100e-3,1.690421797e2,5.321761334e1,1.158245663e2
345,2.606330448e-3,1.690783051e2,5.325373867e1,1.158245664e2
346,2.603078697e-3,1.691146189e2,5.329005243e1,1.158245665e2
347,2.600834490e-3,1.691511123e2,5.332654575e1,1.158245665e2
348,2.577639705e-3,1.691877846e2,5.336321798e1,1.158245666e2
349,2.639859769e-3,1.692246307e2,5.340006399e1,1.158245667e2
350,2.679050642e-3,1.692616604e2,5.343709366e1,1.158245668e2
351,2.592713233e-3,1.692988720e2,5.347430517e1,1.158245668e2
352,2.739084091e-3,1.693362635e2,5.351169657e1,1.158245669e2
353,2.765583790e-3,1.693738418e2,5.354927480e1,1.158245670e2
354,2.762601847e-3,1.694116070e2,5.358703999e1,1.158245671e2
355,2.770358427e-3,1.694495590e2,5.362499182e1,1.158245671e2
356,2.786113479e-3,1.694876953e2,5.366312809e1,1.158245672e2
357,2.829228102e-3,1.695260147e2,5.370144741e1,1.158245673e2
358,2.811349938e-3,1.695645248e2,5.373995738e1,1.158245674e2
359,2.809483249e-3,1.696032232e2,5.377865572e1,1.158245675e2
360,2.815390602e-3,1.696421087e2,5.381754115e1,1.158245675e2
361,2.855273987e-3,1.696811806e2,5.385661299e1,1.158245676e2
362,2.871640324e-3,1.697204429e2,5.389587525e1,1.158245677e2
363,2.855756704e-3,1.697598936e2,5.393532587e1,1.158245678e2
364,2.849879602e-3,1.697995314e2,5.397496355e1,1.158245679e2
365,2.865648186e-3,1.698393606e2,5.401479269e1,1.158245679e2
366,2.822945758e-3,1.698793827e2,5.405481472e1,1.158245680e2
367,2.885475941e-3,1.699196002e2,5.409503212e1,1.158245681e2
368,2.907877414e-3,1.699600179e2,5.413544974e1,1.158245682e2
369,2.904666586e-3,1.700006340e2,5.417606571e1,1.158245683e2
370,2.890270177e-3,1.700414464e2,5.421687809e1,1.158245683e2
371,2.885260620e-3,1.700824579e2,5.425788953e1,1.158245684e2
372,2.892097701e-3,1.701236730e2,5.429910454e1,1.158245685e2
373,2.898484855e-3,1.701650933e2,5.434052475e1,1.158245686e2
374,2.888250909e-3,1.702067183e2,5.438214966e1,1.158245687e2
375,2.882154798e-3,1.702485505e2,5.442398173e1,1.158245688e2
376,2.878538930e-3,1.702905857e2,5.446601689e1,1.158245688e2
377,2.883758848e-3,1.703328214e2,5.450825245e1,1.158245689e2
378,2.900955271e-3,1.703752660e2,5.455069698e1,1.158245690e2
379,2.905892046e-3,1.704179193e2,5.459335019e1,1.158245691e2
380,2.899982632e-3,1.704607806e2,5.463621146e1,1.158245692e2
381,2.880529144e-3,1.705038495e2,5.467928026e1,1.158245693e2
382,2.900335085e-3,1.705471270e2,5.472255768e1,1.158245694e2
383,2.911390077e-3,1.705906168e2,5.476604741e1,1.158245694e2
384,2.924158528e-3,1.706343219e2,5.480975235e1,1.158245695e2
385,2.934266988e-3,1.706782382e2,5.485366855e1,1.158245696e2
386,2.947651906e-3,1.707223661e2,5.489779641e1,1.158245697e2
387,2.955355936e-3,1.707667073e2,5.494213750e1,1.158245698e2
388,2.954223647e-3,1.708112630e2,5.498669313e1,1.158245699e2
389,2.944397137e-3,1.708560339e2,5.503146392e1,1.158245700e2
390,2.930298160e-3,1.709010164e2,5.507644636e1,1.158245701e2
391,2.935406511e-3,1.709462128e2,5.512164268e1,1.158245701e2
392,2.938604072e-3,1.709916331e2,5.516706283e1,1.158245702e2
393,2.933949814e-3,1.710372785e2,5.521270818e1,1.158245703e2
394,2.899633518e-3,1.710831531e2,5.525858268e1,1.158245704e2
395,2.897319320e-3,1.711292601e2,5.530468960e1,1.158245705e2
396,2.905329615e-3,1.711756003e2,5.535102966e1,1.158245706e2
397,2.914596861e-3,1.712221794e2,5.539760870e1,1.158245707e2
398,2.921311547e-3,1.712690005e2,5.544442975e1,1.158245708e2
399,2.911945557e-3,1.713160685e2,5.549149760e1,1.158245709e2
400,2.893503864e-3,1.713633891e2,5.553881812e1,1.158245710e2
401,2.900401462e-3,1.714109626e2,5.558639158e1,1.158245711e2
402,2.897386842e-3,1.714587937e2,5.563422258e1,1.158245712e2
403,2.908675775e-3,1.715068834e2,5.568231212e1,1.158245713e2
404,2.895781469e-3,1.715552332e2,5.573066184e1,1.158245713e2
405,2.888474554e-3,1.716038396e2,5.577926818e1,1.158245714e2
406,2.888634360e-3,1.716527082e2,5.582813670e1,1.158245715e2
407,2.903729307e-3,1.717018431e2,5.587727147e1,1.158245716e2
408,2.886810258e-3,1.717512447e2,5.592667295e1,1.158245717e2
409,2.884271720e-3,1.718009097e2,5.597633785e1,1.158245718e2
410,2.866984954e-3,1.718508380e2,5.602626605e1,1.158245719e2
411,2.850308990e-3,1.719010335e2,5.607646145e1,1.158245720e2
412,2.826464091e-3,1.719514975e2,5.612692539e1,1.158245721e2
413,2.808195268e-3,1.720022294e2,5.617765720e1,1.158245722e2
414,2.787120741e-3,1.720532317e2,5.622865935e1,1.158245723e2
415,2.762335332e-3,1.721045064e2,5.627993396e1,1.158245724e2
416,2.772474794e-3,1.721560629e2,5.633149042e1,1.158245725e2
417,2.772278076e-3,1.722078953e2,5.638332272e1,1.158245726e2
418,2.753524423e-3,1.722599992e2,5.643542654e1,1.158245727e2
419,2.748211666e-3,1.723123758e2,5.648780301e1,1.158245728e2
420,2.746402803e-3,1.723650226e2,5.654044974e1,1.158245729e2
421,2.741227703e-3,1.724179371e2,5.659336408e1,1.158245730e2
422,2.730026142e-3,1.724711266e2,5.664655347e1,1.158245731e2
423,2.732267148e-3,1.725245928e2,5.670001955e1,1.158245732e2
424,2.726716090e-3,1.725783347e2,5.675376136e1,1.158245733e2
425,2.724923642e-3,1.726323550e2,5.680778154e1,1.158245734e2
426,2.729178901e-3,1.726866551e2,5.686208155e1,1.158245735e2
427,2.736531457e-3,1.727412346e2,5.691666100e1,1.158245736e2
428,2.740905276e-3,1.727960943e2,5.697152059e1,1.158245737e2
429,2.731821999e-3,1.728512353e2,5.702666146e1,1.158245738e2
430,2.725820077e-3,1.729066597e2,5.708208574e1,1.158245740e2
431,2.720924701e-3,1.729623674e2,5.713779332e1,1.158245741e2
432,2.712052865e-3,1.730183604e2,5.719378627e1,1.158245742e2
433,2.708633320e-3,1.730746423e2,5.725006805e1,1.158245743e2
434,2.703953000e-3,1.731312113e2,5.730663690e1,1.158245744e2
435,2.700906304e-3,1.731880673e2,5.736349277e1,1.158245745e2
436,2.688456575e-3,1.732452123e2,5.742063771e1,1.158245746e2
437,2.704755626e-3,1.733026470e2,5.747807226e1,1.158245747e2
438,2.706124816e-3,1.733603730e2,5.753579817e1,1.158245748e2
439,2.697901964e-3,1.734183898e2,5.759381484e1,1.158245749e2
440,2.699157411e-3,1.734766971e2,5.765212213e1,1.158245750e2
441,2.704344289e-3,1.735352961e2,5.771072097e1,1.158245751e2
442,2.695848763e-3,1.735941911e2,5.776961589e1,1.158245752e2
443,2.699378521e-3,1.736533849e2,5.782880955e1,1.158245753e2
444,2.683321596e-3,1.737128742e2,5.788829871e1,1.158245755e2
445,2.676750427e-3,1.737726585e2,5.794808294e1,1.158245756e2
446,2.687457380e-3,1.738327400e2,5.800816433e1,1.158245757e2
447,2.706242262e-3,1.738931223e2,5.806854653e1,1.158245758e2
448,2.720725523e-3,1.739537557e2,5.812917978e1,1.158245759e2
